China Construction Bank,,,,,,,,,,
开户机构：,xxx,,,,,,,,,
币　　种：,人民币,,,,,,,,,
账　　号：,xxxxx*********xxxx,,,,,,,,,
,,,,,,,,,,
记账日          ,交易日期          ,交易时间                ,支出                ,收入                ,账户余额          ,币种          ,摘要            ,对方账号          ,对方户名          ,交易地点                
20250101,20250101,18:53:19,67.00,0.00,"2,176.91",人民币,消费,20883313166*****0156,中***融科技有限公司,支付宝-支付宝外部商户-中移动金融科技有限公司
20250102,20250102,19:12:59,16.78,0.00,"2,160.13",人民币,消费,2088131*****0121,**微超,支付宝-支付宝外部商户-便民微超
20250102,20250102,21:43:48,20.00,0.00,"2,140.13",人民币,消费,20880216448*****0156,高***技术有限公司,支付宝-支付宝外部商户-高德打车
20250105,20250105,17:12:28,515.02,0.00,"1,579.11",人民币,无卡自助交易,802080*****0015,中***网络有限公司,中国铁路网络有限公司（云闪付APP）
20250106,20250106,09:36:05,18.06,0.00,"1,561.05",人民币,消费,20880216448*****0156,高***技术有限公司,支付宝-支付宝外部商户-高德打车
20250106,20250106,12:03:39,66.40,0.00,"1,494.65",人民币,消费,2088131*****0121,**微超,支付宝-支付宝-消费-便民微超
以上数据仅供参考|具体内容请以柜台为准,,,,,,,,,,
